,company,address,country
0,3M Company," 905 Adams Street, Hutchinson, Minnesota, USA",USA
1,3M Company," 577 Keumeui-ri, Jangan-myon, Hwaseong, Gyeonggi-Do, Korea",Korea
2,3M Company," 1425 Stokke Parkway, Menomonie, Wisconsin, USA",USA
3,3M Company," 235 Zhongyuan Road, Suzhou, Jiangsu, China",China
4,3M Company," No. 312, Section 1, Huandong Road, Sinshih Township, Tainan, Taiwan",Taiwan
5,3M Company," 5500 Oaza Osanagi, Higashine, Yamagata, Japan",Japan
6,3M Company," 3406 E. Pleasant Street, Knoxville, Iowa, USA",USA
7,3M Company," 1030 Lake Road, Medina, Ohio, USA",USA
8,AAC Technologies Holdings Inc.," Building 5, 6th floor, Nanyou Tianan Industry Park, Dengliang Road, NanShan District, Shenzhen, Guangdong, China",China
9,AAC Technologies Holdings Inc.," No. 8 Fengqi Road, High Tech. Industry Development Area, Wujin District, Changzhou, Jiangsu, China",China
10,AAC Technologies Holdings Inc.," No. 66 Yanghuxi Road, Wujin District, Changzhou, Jiangsu, China",China
11,"Advanced International Multitech Co., Ltd."," Building F, Pengjinghui Industrial Park, No. 52 Tenth Road, Long Yean Village, Humen Town, Dongguan, Guangdong, China",China
12,"Advanced International Multitech Co., Ltd."," No. 2 South 5th Road, K.E.P.Z. Kaohsiung, Taiwan",Taiwan
13,Advanced Semiconductor Engineering Inc.," 76 Saneopdanji-gil, Paju, Gyeonggi-Do, Korea",Korea
14,Advanced Semiconductor Engineering Inc.," 26 Chin 3rd Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",Taiwan
15,Advanced Semiconductor Engineering Inc.," 1F, 550 Chung-Hwa Road, Section 1, Chungli, Taoyuan, Taiwan",Taiwan
16,Advanced Semiconductor Engineering Inc.," 1F, No. 115 Nei-Huan North Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",Taiwan
17,Advanced Semiconductor Engineering Inc.," No. 107 Neihuan N. Road, Nanzi District, Kaohsiung, Taiwan",Taiwan
18,Advanced Semiconductor Engineering Inc.," 73 Kai Fa Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",Taiwan
19,Advanced Semiconductor Engineering Inc.," No. 501 Longgui Road, Jinqiao Export Processing (South) Zone, Pudong New Area, Shanghai, China",China
20,Advanced Semiconductor Engineering Inc.," No. 1558 Zhang Dong Road, Zhangjiang Hi-Tech Park, Shanghai, China",China
21,Advanced Semiconductor Engineering Inc.," No. 188 Su Hong Xi Road, Suzhou Industrial Park, Suzhou, Jiangsu, China",China
22,"Alps Electric Co., Ltd."," 136-1 Kitahara, Furukawatsukanome, Osaki, Miyagi, Japan",Japan
23,"Alps Electric Co., Ltd."," 6-3-36 Furukawa Nakazato, Osaki, Miyagi, Japan",Japan
24,"Alps Electric Co., Ltd."," No. 5 Xingchuang 4 Road, Singapore-Industrial Park, Wuxi, Jiangsu, China",China
25,"Alps Electric Co., Ltd."," P.T. 10643 Nilai Industrial Estate, Nilai, Negeri Sembilan, Malaysia",Malaysia
26,"Alps Electric Co., Ltd."," 6-1 Nishida, Kakuda, Miyagi, Japan",Japan
27,"Alps Electric Co., Ltd."," 1-3-5 Higashi Takami, Nagaoka, Niigata, Japan",Japan
28,"Alps Electric Co., Ltd."," 230 Shibue, Wakuya-cho, Tohda-gun, Miyagi Prefecture, Tohda-gun, Miyagi, Japan",Japan
29,Amkor Technology Inc.," No. 39 GuangFu North Road, Hsinchu Industrial Park, Hsinchu, Taiwan",Taiwan
30,Amkor Technology Inc.," No. 111 Yinglun Road Waigaoqiao Free Trade Zone, Shanghai, China",China
31,Amkor Technology Inc.," 119 North Science Avenue, Special Economic Zone, Laguna Techno Park, Binan, Laguna, Philippines",Philippines
32,Amkor Technology Inc.," 110 Anaji-ro, Gyeyang-gu, Incheon, Korea",Korea
33,Amkor Technology Inc.," 957 Daechon-dong, Buk-gu, Gwangju, Gyeonggi-Do, Korea",Korea
34,Amkor Technology Inc.," No. 11 GuangFu Road, Hsinchu Industrial Park, Hsinchu, Taiwan",Taiwan
35,Amkor Technology Inc.," Mirae-ro 150, Songdo, Incheon, Korea",Korea
36,Amkor Technology Inc.," 1F, No. 1 Kao-Ping Sec Chung-Feng Road, Lungtan Township, Taoyuan, Taiwan",Taiwan
37,Amkor Technology Inc.," 1 Ohmaki, Harue-Cho, Harue, Fukui, Japan",Japan
38,Amkor Technology Inc.," 145-1, Aza-Nakajima, Nanae-cho, Kameda, Hokkaido, Japan",Japan
39,Amphenol Corp.," No. 98-5 Road 19, Hangzhou Economic and Technological Development Zone, Hangzhou, Zhejiang, China",China
40,Amphenol Corp.," No. 689 Shennan Road, Xin Zhuang Industry Park, Shanghai, China",China
41,Amphenol Corp.," Block A3/A4, DongKeng Road, GongMing Town, Shenzhen, Guangdong, China",China
42,Amphenol Corp.," 825 Old Trail Road, Etters, Pennsylvania, USA",USA
43,ams AG," B2-1D Carmelray Industrial Park II, Barangay Tulo, Calamba, Laguna, Philippines",Philippines
44,ams AG," Tobelbaderstrasse 30, Unterpremstaetten, Styria, Austria",Austria
45,ams AG," 26 Woodlands Loop, Level 1, Singapore",Singapore
46,ams AG," 7000 Ang Mo Kio Avenue 5, Singapore",Singapore
47,Analog Devices Inc.," Gateway Business Park, Javalera, Gen. Trias, Cavite, Philippines",Philippines
48,Apollo Global Management LLC," 190 Yishun Avenue, Singapore",Singapore
49,Apollo Global Management LLC," No. 3, Lintang Bayan Lepas 8, Kawasan Perindustrian Bayan Lepas, Fasa 4, Mukim 12, Bayan Lepas, Penang, Malaysia",Malaysia
50,Artesyn Embedded Technologies Inc.," No. 68 Baocheng E. Road, Fucheng Town, Luoding, YunFu, Guangdong, China",China
51,Artesyn Embedded Technologies Inc.," Main Avenue Corner Road J, PEZA Complex, Rosario, Cavite, Philippines",Philippines
